ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
7atr	unrelaxed_multimer_v3	1	1	0.0411366954452269	0.63555449	[0.06597057396863149, 0.009958943280117736]	[0.54376024, 0.34833345]	[81.485, 28.970000000000002]	0.81898618040579	0.56308246	0.6142632013521542	1
7atr	unrelaxed_multimer_v3	1	2	0.0438195967296669	0.63555449	[0.0834688328648118, 0.010637028344284833]	[0.5794477, 0.37879542]	[82.62166666666667, 31.203333333333337]	0.817416585526779	0.554121	0.6067801310701996	1
7atr	unrelaxed_multimer_v3	1	3	0.0386890745027023	0.63555449	[0.0651179676028385, 0.010393844647755442]	[0.5392498, 0.35620597]	[81.80000000000001, 31.5125]	0.8162747345562766	0.5563652	0.6083471004604497	1
7atr	unrelaxed_multimer_v3	1	4	0.0393845395236318	0.63555449	[0.06494498393361944, 0.010420850537181937]	[0.5511301, 0.37474433]	[79.96333333333332, 30.133333333333336]	0.800795837693776	0.554999	0.6041583626376322	1
7atr	unrelaxed_multimer_v3	1	5	0.0324806278353897	0.63555449	[0.10172108483359023, 0.010798925917045114]	[0.6384831, 0.3698007]	[79.68, 32.995]	0.794311026466552	0.57808435	0.621329684999121	1
7atr	unrelaxed_multimer_v3	2	1	0.0488296175952175	0.63555449	[0.06680913527585167, 0.00951395905143929]	[0.50730944, 0.3045765]	[87.718, 28.969]	0.8442517505239067	0.49269724	0.5630081412424767	1
7atr	unrelaxed_multimer_v3	2	2	0.038731928601557	0.63555449	[0.06338061390210793, 0.009615619115807859]	[0.50650597, 0.32162288]	[86.27624999999999, 28.3675]	0.8405062266673923	0.50120366	0.569064170290754	1
7atr	unrelaxed_multimer_v3	2	3	0.0353919869339666	0.63555449	[0.056549303393582884, 0.00913942138513097]	[0.47789586, 0.2935921]	[87.8025, 26.073749999999997]	0.8432587706254545	0.48877606	0.5596726004919732	1
7atr	unrelaxed_multimer_v3	2	4	0.0400966834413535	0.63555449	[0.05806127487596989, 0.008870273970930704]	[0.475117, 0.2811221]	[89.16454545454548, 24.00454545454545]	0.8410402497925429	0.49095938	0.5609755508358889	1
7atr	unrelaxed_multimer_v3	2	5	0.030657360211978	0.63555449	[0.06076136116723487, 0.009823416974980907]	[0.50807595, 0.32998544]	[84.745, 29.448333333333334]	0.8182914393063843	0.4933818	0.5583637264751685	1
7atr	unrelaxed_multimer_v3	3	1	0.0534326342476444	0.63555449	[0.0962460740250823, 0.010310954799688002]	[0.5853835, 0.33687177]	[85.47222222222221, 32.70111111111111]	0.8416752864018299	0.5968947	0.6458508024433299	1
7atr	unrelaxed_multimer_v3	3	2	0.0537607514517731	0.63555449	[0.09692517139974016, 0.010602654557084493]	[0.5780246, 0.3599674]	[86.745, 32.60625]	0.8291168626755523	0.60018843	0.6459741198343049	1
7atr	unrelaxed_multimer_v3	3	3	0.0574113863033605	0.63555449	[0.1031667894873422, 0.010580550076180417]	[0.5768276, 0.35091972]	[88.56875000000001, 33.295]	0.8397487844568736	0.59588885	0.6446608393498708	1
7atr	unrelaxed_multimer_v3	3	4	0.0505977717158801	0.63555449	[0.10911918135111534, 0.010754429351533408]	[0.603418, 0.35657984]	[86.08099999999999, 33.927]	0.8324012045691205	0.59668356	0.6438270903553525	1
7atr	unrelaxed_multimer_v3	3	5	0.0600289956824106	0.63555449	[0.11363659565535833, 0.010503691269807769]	[0.58800304, 0.34479472]	[89.38999999999999, 33.343999999999994]	0.842391949504631	0.58277434	0.6346978627860581	1
7atr	unrelaxed_multimer_v3	4	1	0.051008331559069	0.63555449	[0.07314704514817759, 0.009741042039458853]	[0.52862096, 0.31792724]	[86.78272727272727, 29.83454545454546]	0.814240515924286	0.53531224	0.5910978914691589	1
7atr	unrelaxed_multimer_v3	4	2	0.0505761683570618	0.63555449	[0.1085704022149961, 0.010573854696301576]	[0.59176874, 0.34830385]	[87.6457142857143, 33.49857142857143]	0.8294192284154858	0.569734	0.6216710275373452	1
7atr	unrelaxed_multimer_v3	4	3	0.0368155291770915	0.63555449	[0.08339988341164355, 0.010004033549307286]	[0.54787564, 0.33281296]	[87.36, 30.68777777777778]	0.8133710942860928	0.550286	0.6029030148624677	1
7atr	unrelaxed_multimer_v3	4	4	0.1983371399515546	0.75941223	[0.3068368242559756, 0.03511257748060272]	[0.77621406, 0.61844]	[88.35933333333332, 55.843333333333334]	0.8168401822889473	0.7721004	0.7810483476607923	1
7atr	unrelaxed_multimer_v3	4	5	0.0563591516914157	0.63555449	[0.06848175875111849, 0.009611915754672512]	[0.5116907, 0.3131954]	[87.700625, 29.096249999999998]	0.8018856137703987	0.54258627	0.5944461363496608	1
7atr	unrelaxed_multimer_v3	5	1	0.0773329916510398	0.66728511	[0.12013417884911728, 0.010811123738086983]	[0.62065405, 0.364824]	[86.05722222222224, 33.52277777777777]	0.8345557437995953	0.59997356	0.6468899962635812	1
7atr	unrelaxed_multimer_v3	5	2	0.0787279400683368	0.66728511	[0.11383877659482729, 0.011174819955524651]	[0.6138524, 0.3827932]	[85.67, 34.088125000000005]	0.8253694492711154	0.59857374	0.6439328852918452	1
7atr	unrelaxed_multimer_v3	5	3	0.0375972487831789	0.63555449	[0.0672581254877213, 0.009796916374023492]	[0.53043807, 0.32487905]	[84.08500000000001, 29.6825]	0.7762306595181218	0.5108993	0.5639655761785267	1
7atr	unrelaxed_multimer_v3	5	4	0.0568755257906477	0.63555449	[0.10494277947186416, 0.011348181269596613]	[0.6254847, 0.38443568]	[82.09400000000001, 34.914]	0.8092677794297765	0.59470296	0.6376159231344904	1
