ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6xqr	unrelaxed_multimer_v3	1	1	0.4317470111035671	0.87822061	[0.9357450303503166, 0.9357785550746059]	[0.9861849, 0.9861474]	[98.09041666666666, 98.09583333333335]	0.9524103224570892	0.93684363	0.9399569714128048	1
6xqr	unrelaxed_multimer_v3	1	2	0.4511632501724888	0.88570037	[0.936492830340296, 0.936725663921367]	[0.9863289, 0.98634213]	[98.11375, 98.12416666666667]	0.9523266286195576	0.9367697	0.9398811048376812	1
6xqr	unrelaxed_multimer_v3	1	3	0.4316272245030196	0.87822061	[0.935929590001268, 0.9362353321691793]	[0.9862029, 0.9862404]	[98.09791666666668, 98.10958333333333]	0.9523214569394982	0.9370017	0.940065655523642	1
6xqr	unrelaxed_multimer_v3	1	4	0.451011547017288	0.88570037	[0.9373362404339537, 0.9375693387696381]	[0.9865888, 0.9866567]	[98.13041666666668, 98.13541666666667]	0.9526489611336652	0.937895	0.9408457922114744	1
6xqr	unrelaxed_multimer_v3	1	5	0.4317511414698307	0.87822061	[0.9371780665368339, 0.9374060546576273]	[0.9865756, 0.98659486]	[98.12375000000002, 98.13333333333334]	0.9521289858466604	0.9367319	0.9398112971235556	1
6xqr	unrelaxed_multimer_v3	2	1	0.4694559790229857	0.88570037	[0.9454767124705971, 0.9454206239262054]	[0.98798364, 0.9878819]	[98.40454545454544, 98.41181818181816]	0.9523744060172674	0.93800175	0.9408762827232288	1
6xqr	unrelaxed_multimer_v3	2	2	0.4701235325249529	0.88570037	[0.9465157110933146, 0.9469091259301412]	[0.9882334, 0.98830295]	[98.43272727272728, 98.44590909090908]	0.9531576566080684	0.9394994	0.9422310338850904	1
6xqr	unrelaxed_multimer_v3	2	3	0.4783878267362795	0.8919553	[0.947243777784146, 0.9476153524262978]	[0.98845196, 0.98850137]	[98.44818181818182, 98.4622727272727]	0.9530023408278228	0.9391985	0.9419592633315802	1
6xqr	unrelaxed_multimer_v3	2	4	0.4860411279837303	0.8919553	[0.9470079401859124, 0.9469767611451702]	[0.98841757, 0.9884061]	[98.43954545454545, 98.43909090909091]	0.952939161736472	0.9389159	0.941720559016606	1
6xqr	unrelaxed_multimer_v3	2	5	0.4781255017646222	0.8919553	[0.9467574389197143, 0.9467148962204377]	[0.98831636, 0.98828083]	[98.43681818181817, 98.43818181818182]	0.9528513658046892	0.9383812	0.9412752292156256	1
6xqr	unrelaxed_multimer_v3	3	1	0.4505573632394232	0.88570037	[0.9393159552653495, 0.9394906393485056]	[0.9871122, 0.9871089]	[98.17833333333334, 98.1875]	0.9508771457682464	0.93622464	0.939155140686242	1
6xqr	unrelaxed_multimer_v3	3	2	0.4567085889745704	0.88570037	[0.9380172281318473, 0.9382397709466891]	[0.98726773, 0.98729384]	[98.09727272727272, 98.1059090909091]	0.94845943346386	0.93087685	0.9343933675582506	1
6xqr	unrelaxed_multimer_v3	3	3	0.4506436348966764	0.88570037	[0.9385885558805953, 0.9384347688103581]	[0.986973, 0.9868865]	[98.15541666666667, 98.15625]	0.9508392907117816	0.9368671	0.9396615524477764	1
6xqr	unrelaxed_multimer_v3	3	4	0.4310844123903156	0.87822061	[0.937279948871169, 0.9398707078414773]	[0.9866737, 0.98762256]	[98.1191304347826, 98.15565217391305]	0.9503476167605254	0.93580043	0.9387098698792048	1
6xqr	unrelaxed_multimer_v3	3	5	0.4303005455715201	0.87822061	[0.9386167199740386, 0.9388530981601096]	[0.98734355, 0.9873356]	[98.11999999999999, 98.13272727272728]	0.9493950254654198	0.9327004	0.9360393215603692	1
6xqr	unrelaxed_multimer_v3	4	1	0.4522360958352813	0.88570037	[0.9393273854584941, 0.9395152944452295]	[0.9869086, 0.9869916]	[98.19916666666667, 98.20041666666668]	0.9522052994566188	0.93756366	0.94049198609982	1
6xqr	unrelaxed_multimer_v3	4	2	0.4333897991949761	0.87822061	[0.9404561327331593, 0.9406042132086178]	[0.9870934, 0.98708504]	[98.23791666666666, 98.24624999999999]	0.95164311601983	0.93535554	0.9386130584761828	1
6xqr	unrelaxed_multimer_v3	4	3	0.4522050173478945	0.88570037	[0.9398421042520513, 0.939637859903912]	[0.98700285, 0.9869618]	[98.21583333333332, 98.20958333333333]	0.9521276655060662	0.9384123	0.941155380055559	1
6xqr	unrelaxed_multimer_v3	4	4	0.4519446915398707	0.88570037	[0.9390286986555658, 0.9391407006765585]	[0.986962, 0.98697287]	[98.17875, 98.18333333333334]	0.9522530509605074	0.93733317	0.9403171434715204	1
6xqr	unrelaxed_multimer_v3	4	5	0.4524885673970631	0.88570037	[0.9402791136808262, 0.940613805333315]	[0.9870661, 0.9870732]	[98.23166666666667, 98.24791666666665]	0.952454726451758	0.93697506	0.940070994805122	1
6xqr	unrelaxed_multimer_v3	5	1	0.4524108916511049	0.88570037	[0.9388014003814799, 0.9391887921406722]	[0.9867921, 0.986767]	[98.18416666666667, 98.20625]	0.9517409756096078	0.93911797	0.941642569587864	1
6xqr	unrelaxed_multimer_v3	5	2	0.4519446915398707	0.88570037	[0.9379788938478274, 0.9380846384172533]	[0.9867263, 0.98671293]	[98.14916666666666, 98.15583333333335]	0.9511475589725356	0.9386107	0.9411180501551027	1
6xqr	unrelaxed_multimer_v3	5	3	0.4517231593109329	0.88570037	[0.9417237083425002, 0.9422020245022124]	[0.9876909, 0.98780245]	[98.24272727272727, 98.25590909090907]	0.9507433174624418	0.9360393	0.938980126352596	1
6xqr	unrelaxed_multimer_v3	5	4	0.4514860190092587	0.88570037	[0.9369209902043829, 0.9367081108934342]	[0.9864788, 0.9864128]	[98.12041666666666, 98.11625]	0.9509636924453024	0.93705773	0.9398389253176738	1
6xqr	unrelaxed_multimer_v3	5	5	0.4608208507310075	0.88570037	[0.9392863094891167, 0.939508657131712]	[0.9870804, 0.98712224]	[98.17999999999999, 98.18708333333332]	0.9510208653915666	0.93817997	0.9407481489083915	1
6yvk	unrelaxed_multimer_v3	1	1	0.6971125237300634	0.98128027	[0.8249943698539832, 0.8270427779610423]	[0.9623898, 0.9625708]	[95.19372881355935, 95.26872881355938]	0.9417459987495956	0.9264891	0.9295404915590012	1
6yvk	unrelaxed_multimer_v3	1	2	0.6958800601118943	0.98128027	[0.819491781064197, 0.8193661860526638]	[0.9606208, 0.96081173]	[95.11974576271183, 95.09516949152541]	0.9413354577745464	0.9252269	0.9284486329977804	1
6yvk	unrelaxed_multimer_v3	1	3	0.7094535070131338	0.98128027	[0.8624837724519019, 0.8631900994301722]	[0.9666238, 0.9665597]	[96.49697478991595, 96.53638655462184]	0.94606843428443	0.93510705	0.937299328717848	1
6yvk	unrelaxed_multimer_v3	1	4	0.7097005610395947	0.98128027	[0.8842319556132295, 0.8838849794618627]	[0.97436535, 0.97413206]	[96.7503305785124, 96.75702479338844]	0.9475559044160552	0.93616754	0.938445211416048	1
6yvk	unrelaxed_multimer_v3	1	5	0.7076571731723816	0.98128027	[0.840687562128288, 0.8413120550341517]	[0.9620709, 0.9624616]	[95.941512605042, 95.93126050420166]	0.9450503840860778	0.92985845	0.9328968337141884	1
6yvk	unrelaxed_multimer_v3	2	1	0.7086099028271214	0.98128027	[0.8567535947497547, 0.8569766920745897]	[0.96667236, 0.9666212]	[96.22520661157023, 96.24066115702479]	0.943255823030122	0.9285394	0.9314826808718936	1
6yvk	unrelaxed_multimer_v3	2	2	0.7086420909819257	0.98128027	[0.8561904202965036, 0.855774579391998]	[0.9662238, 0.9660291]	[96.24371900826448, 96.24380165289256]	0.9433676244939438	0.9287392	0.9316648769800876	1
6yvk	unrelaxed_multimer_v3	2	3	0.7087211698510112	0.98128027	[0.8604531897769379, 0.8611784704789742]	[0.96808916, 0.9680989]	[96.25628099173554, 96.2890909090909]	0.9432060820370634	0.9288323	0.9317070504528228	1
6yvk	unrelaxed_multimer_v3	2	4	0.7081916875960678	0.98128027	[0.8441703086451084, 0.8450544076066713]	[0.96251786, 0.96236074]	[96.05719008264462, 96.11363636363635]	0.9431603515196034	0.92694676	0.9301894776830713	1
6yvk	unrelaxed_multimer_v3	2	5	0.7087676670141585	0.98128027	[0.8547981023490773, 0.8551671069397044]	[0.96513087, 0.96513695]	[96.28801652892564, 96.30454545454546]	0.9432747158685264	0.9296164	0.9323480565007316	1
6yvk	unrelaxed_multimer_v3	3	1	0.7104948771515155	0.98128027	[0.8932060588800107, 0.8943621539368297]	[0.97693574, 0.97713387]	[96.92307692307693, 96.95880341880343]	0.9448415007547096	0.93333745	0.9356382601729146	1
6yvk	unrelaxed_multimer_v3	3	2	0.7097236602611628	0.98128027	[0.8843777595957477, 0.8862828432908317]	[0.97464836, 0.97496194]	[96.72915966386554, 96.78857142857144]	0.9442336927058128	0.9323909	0.9347594811559088	1
6yvk	unrelaxed_multimer_v3	3	3	0.709022011449278	0.98128027	[0.8865378894024853, 0.8877678599158308]	[0.97557116, 0.9758433]	[96.74025641025639, 96.7717948717949]	0.9440508823946824	0.9319645	0.934381789790704	1
6yvk	unrelaxed_multimer_v3	3	4	0.7087631966141849	0.98128027	[0.8828343337182273, 0.8829376058048143]	[0.97460836, 0.97476465]	[96.65991379310347, 96.64931034482758]	0.9430816869141708	0.9305143	0.9330277582049776	1
6yvk	unrelaxed_multimer_v3	3	5	0.7097313351620776	0.98128027	[0.884323498895316, 0.8847601269234255]	[0.9748818, 0.9750098]	[96.70341880341881, 96.71145299145299]	0.9439247738675012	0.9317093	0.9341523864141252	1
6yvk	unrelaxed_multimer_v3	4	1	0.711875178485548	0.98128027	[0.8894706412386935, 0.8890992851246579]	[0.9740685, 0.97396255]	[97.0294214876033, 97.0222314049587]	0.9466166093763462	0.938905	0.9404473224245856	1
6yvk	unrelaxed_multimer_v3	4	2	0.7121840750907606	0.98128027	[0.8939752750622304, 0.8936978670040466]	[0.97492564, 0.97497195]	[97.1598347107438, 97.14190082644627]	0.947499786872249	0.9395077	0.9411061356581412	1
6yvk	unrelaxed_multimer_v3	4	3	0.7123487226203763	0.98128027	[0.8977028474119718, 0.8974550908108692]	[0.97633404, 0.9762565]	[97.1988429752066, 97.19462809917356]	0.947286324414046	0.93969965	0.941216984731442	1
6yvk	unrelaxed_multimer_v3	4	4	0.7123104801730554	0.98128027	[0.8972227388232471, 0.8974445488691111]	[0.97634417, 0.9763967]	[97.17471074380167, 97.18016528925621]	0.9477043054242548	0.9400235	0.9415596465615356	1
6yvk	unrelaxed_multimer_v3	4	5	0.7122130408972916	0.98128027	[0.8957041447556048, 0.8953671958699364]	[0.97582436, 0.97577953]	[97.15338842975207, 97.14165289256199]	0.9469818836039215	0.93909633	0.940673441997884	1
6yvk	unrelaxed_multimer_v3	5	1	0.7075868850106168	0.98128027	[0.8856281798896047, 0.8861966574586546]	[0.9753317, 0.9753966]	[96.720756302521, 96.74134453781514]	0.9456798238068064	0.93240535	0.935060246835336	1
6yvk	unrelaxed_multimer_v3	5	2	0.7078534960724904	0.98128027	[0.8900427412964271, 0.8906855126076253]	[0.9766261, 0.976716]	[96.80260504201682, 96.82436974789917]	0.9458483880347144	0.9321155	0.9348620737708832	1
6yvk	unrelaxed_multimer_v3	5	3	0.7081936630310924	0.98128027	[0.892101213860971, 0.8937168664232448]	[0.9769625, 0.9772235]	[96.86756302521005, 96.91899159663866]	0.9460671714683307	0.9339006	0.9363339100627092	1
6yvk	unrelaxed_multimer_v3	5	4	0.7082346093927346	0.98128027	[0.8870140267656952, 0.8880510159628541]	[0.9757428, 0.975916]	[96.7458823529412, 96.77806722689073]	0.94562981734383	0.93285483	0.9354098284437417	1
6yvk	unrelaxed_multimer_v3	5	5	0.7090031042216404	0.98128027	[0.8890434277429592, 0.8887359421423489]	[0.9757905, 0.9757681]	[96.83781512605043, 96.82537815126052]	0.945761133826848	0.9348212	0.9370091775252574	1
6z01	unrelaxed_multimer_v3	1	1	0.1463631091012434	0.71391784	[0.009678603420385873, 0.009703599984858804]	[0.11080616, 0.11104915]	[83.98833333333333, 84.45166666666667]	0.5236829621375017	0.15723269	0.2305227419293008	1
6z01	unrelaxed_multimer_v3	1	2	0.1519840295211434	0.71391784	[0.009664065204195302, 0.009669316949245409]	[0.1100645, 0.10974094]	[84.17294117647059, 84.55941176470589]	0.5192653320073353	0.15206848	0.2255078510808799	1
6z01	unrelaxed_multimer_v3	1	3	0.1294730066530107	0.70615739	[0.009722062363524926, 0.009729583001672702]	[0.11265194, 0.11273324]	[83.71909090909092, 83.84909090909092]	0.5220371387325223	0.15901354	0.2316182593886553	1
6z01	unrelaxed_multimer_v3	1	4	0.1545319351572473	0.73044282	[0.0096378038452349, 0.00965299519566341]	[0.11250886, 0.11221434]	[81.66736842105264, 82.27473684210527]	0.5255332381756181	0.15844727	0.2318644601351236	1
6z01	unrelaxed_multimer_v3	1	5	0.1648165419645144	0.73044282	[0.009692812943640775, 0.009697095322018906]	[0.11064289, 0.11071548]	[84.48190476190474, 84.53761904761902]	0.5218206927588042	0.15459806	0.2280425843678009	1
6z01	unrelaxed_multimer_v3	2	1	0.6811238310959317	0.98128027	[0.009524859758857201, 0.009536710259061333]	[0.10039294, 0.10047193]	[88.2114371257485, 88.4931736526946]	0.5166055934804783	0.13651702	0.2125347331599018	1
6z01	unrelaxed_multimer_v3	2	2	0.7297156396555567	0.98128027	[0.009543779548747395, 0.009549023035569208]	[0.10091674, 0.10101963]	[88.31119897959181, 88.37522959183674]	0.5103377657851936	0.13246824	0.2080421439353895	1
6z01	unrelaxed_multimer_v3	2	3	0.6574107619111139	0.98128027	[0.009552062789267103, 0.009505491707160143]	[0.10331123, 0.10301055]	[86.50213017751477, 85.40828402366864]	0.520990532322175	0.1462808	0.2212227427330507	1
6z01	unrelaxed_multimer_v3	2	4	0.6349000627113265	0.96322524	[0.009583822169532585, 0.009578781228560512]	[0.10149297, 0.101432465]	[88.97570247933884, 88.88247933884297]	0.5192556439372119	0.1421786	0.2175940048402988	1
6z01	unrelaxed_multimer_v3	2	5	0.6761319904511637	0.98128027	[0.009553289872176362, 0.009567807350557907]	[0.10083784, 0.10111997]	[88.6599375, 88.83712499999999]	0.5140060129595136	0.1384651	0.213573287781722	1
6z01	unrelaxed_multimer_v3	3	1	0.1793022239552614	0.74006263	[0.009261335436590412, 0.009225638572169004]	[0.10289997, 0.102683395]	[78.19771428571428, 77.25771428571429]	0.4811907462827831	0.13153324	0.2014647375057631	1
6z01	unrelaxed_multimer_v3	3	2	0.6682471477448925	0.98128027	[0.009556244452773689, 0.00955672203853205]	[0.112892576, 0.11318319]	[79.27027118644068, 79.07922033898305]	0.5044388319828608	0.16612628	0.2337887912149925	1
6z01	unrelaxed_multimer_v3	3	3	0.6737458810502015	0.98128027	[0.009560887504881977, 0.009552981884930405]	[0.112757616, 0.11263391]	[79.48697183098592, 79.36654929577465]	0.5054348999231557	0.16107814	0.2299494920962949	1
