ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6xqr	unrelaxed_multimer_v3	1	1	0.4509142877556871	0.88570037	[0.9363113516910135, 0.9363136391528404]	[0.98640037, 0.9863219]	[98.09750000000001, 98.10541666666666]	0.9526052627456212	0.9379294	0.9408645660378938	1
6xqr	unrelaxed_multimer_v3	1	2	0.4484637764155281	0.88570037	[0.9278833997410169, 0.9280618528063901]	[0.9843464, 0.9843897]	[97.87958333333331, 97.88416666666666]	0.9516719496445988	0.9357397	0.9389261467495986	1
6xqr	unrelaxed_multimer_v3	1	3	0.4487313983062918	0.88570037	[0.9261574114540058, 0.9276630500760812]	[0.983512, 0.9838423]	[97.87666666666667, 97.91875]	0.9518152890440276	0.9358604	0.9390513741540204	1
6xqr	unrelaxed_multimer_v3	1	4	0.4490400959583361	0.88570037	[0.9307173474538096, 0.9305036419405032]	[0.98484707, 0.9847271]	[97.97125, 97.97250000000001]	0.9515745017910044	0.9355159	0.9387276048259744	1
6xqr	unrelaxed_multimer_v3	1	5	0.4315859161012276	0.87822061	[0.9356733087307963, 0.9363515895272096]	[0.98624915, 0.9863495]	[98.08041666666666, 98.10458333333334]	0.9523551380830002	0.9367417	0.939864395383934	1
6xqr	unrelaxed_multimer_v3	2	1	0.469709865077675	0.88570037	[0.9463536094016195, 0.9465476626827043]	[0.9882643, 0.9883137]	[98.42136363636364, 98.42636363636365]	0.9526654352223494	0.9384093	0.9412605498130246	1
6xqr	unrelaxed_multimer_v3	2	2	0.4695464149554543	0.88570037	[0.9448680329687911, 0.9445216717466134]	[0.98782253, 0.9876681]	[98.38954545454546, 98.3872727272727]	0.9526454896516698	0.9385286	0.9413519758142452	1
6xqr	unrelaxed_multimer_v3	2	3	0.4688121497938397	0.88570037	[0.9450052773078848, 0.945200803930839]	[0.9880434, 0.98806596]	[98.37454545454544, 98.38227272727273]	0.9518379148694712	0.9367611	0.9397764479488698	1
6xqr	unrelaxed_multimer_v3	2	4	0.4691254389926387	0.88570037	[0.9454270633555586, 0.9458083781043136]	[0.9881225, 0.98814905]	[98.38818181818183, 98.40499999999999]	0.9522242201449738	0.9378161	0.94069771077399	1
6xqr	unrelaxed_multimer_v3	2	5	0.4859383518844792	0.8919553	[0.9475954112116668, 0.9476489913559332]	[0.988555, 0.98851866]	[98.45590909090907, 98.4622727272727]	0.9529049440290264	0.93823045	0.9411653527431832	1
6xqr	unrelaxed_multimer_v3	3	1	0.4310653130911021	0.87822061	[0.9407226116388406, 0.9407283942046936]	[0.98774284, 0.98773664]	[98.18681818181818, 98.18772727272726]	0.9501085995700268	0.9340576	0.9372677945905192	1
6xqr	unrelaxed_multimer_v3	3	2	0.4296635786031024	0.87822061	[0.938288643299195, 0.9383940917823823]	[0.9873095, 0.9873951]	[98.10681818181818, 98.10363636363637]	0.9491758006812064	0.9323479	0.9357134751081652	1
6xqr	unrelaxed_multimer_v3	3	3	0.4400936942359452	0.87822061	[0.9391385551331434, 0.9393294271663478]	[0.98734355, 0.98743147]	[98.14636363636365, 98.14727272727274]	0.9502810469221592	0.9336753	0.936996440707674	1
6xqr	unrelaxed_multimer_v3	3	4	0.4302467878463385	0.87822061	[0.9367491610586967, 0.9377301357804048]	[0.98677534, 0.9870991]	[98.08227272727275, 98.09954545454546]	0.9498283822566568	0.93407	0.9372216693407358	1
6xqr	unrelaxed_multimer_v3	3	5	0.4475862575235372	0.88570037	[0.9388050336305768, 0.938894230582387]	[0.98760396, 0.98762643]	[98.10363636363637, 98.1059090909091]	0.949016796619284	0.93137753	0.934905383402226	1
6xqr	unrelaxed_multimer_v3	4	1	0.4520224088617816	0.88570037	[0.9388272433859225, 0.9388452022905119]	[0.9868806, 0.986873]	[98.17666666666666, 98.17833333333334]	0.9524132455274964	0.93754697	0.9405202238735656	1
6xqr	unrelaxed_multimer_v3	4	2	0.4517892361867459	0.88570037	[0.9388750748236875, 0.9389421560584277]	[0.98695517, 0.9869306]	[98.17166666666667, 98.17750000000001]	0.9519179254330932	0.93670416	0.939746912112986	1
6xqr	unrelaxed_multimer_v3	4	3	0.4517581418063583	0.88570037	[0.9384828367811797, 0.938400453363085]	[0.9867015, 0.9866722]	[98.17708333333333, 98.17583333333334]	0.951137447679681	0.934793	0.938061885898241	1
6xqr	unrelaxed_multimer_v3	4	4	0.4521622826178084	0.88570037	[0.9389275940559099, 0.9388862067596391]	[0.9868143, 0.98680586]	[98.18833333333333, 98.18708333333332]	0.9521147264125236	0.9373556	0.9403074076390722	1
6xqr	unrelaxed_multimer_v3	4	5	0.451225479847172	0.88570037	[0.9351328508155442, 0.9360651384042308]	[0.98595065, 0.9861626]	[98.08291666666666, 98.10874999999999]	0.951495617120037	0.9367436	0.9396940170702476	1
