ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6xqr	unrelaxed_multimer_v3	1	1	0.4508247998307654	0.88570037	[0.9368155431790048, 0.9370821870338716]	[0.98646307, 0.9864432]	[98.11666666666667, 98.13208333333334]	0.9518970202032048	0.93616724	0.9393131961548988	1
6xqr	unrelaxed_multimer_v3	1	2	0.4508637087308856	0.88570037	[0.9363632585110016, 0.9370009387773625]	[0.986368, 0.98643136]	[98.10333333333334, 98.12916666666668]	0.9523785144628336	0.9368694	0.939971209179188	1
6xqr	unrelaxed_multimer_v3	1	3	0.4313256416787418	0.87822061	[0.9353679661337906, 0.9356224195724613]	[0.98623294, 0.9861354]	[98.06666666666666, 98.08916666666669]	0.9523852251152788	0.936833	0.9399434642430264	1
6xqr	unrelaxed_multimer_v3	1	4	0.432155850470777	0.87822061	[0.9411671882793607, 0.9415870423513267]	[0.9876951, 0.9876852]	[98.21409090909091, 98.23636363636363]	0.9520956885912704	0.9363551	0.9395032289047776	1
6xqr	unrelaxed_multimer_v3	1	5	0.4502876836135499	0.88570037	[0.9351572305921731, 0.9356191076225415]	[0.986185, 0.98620915]	[98.06083333333333, 98.08166666666666]	0.952351122830762	0.9367635	0.9398810445734768	1
6xqr	unrelaxed_multimer_v3	2	1	0.4691741601113399	0.88570037	[0.9463247713086633, 0.9466241635633404]	[0.9883454, 0.98840314]	[98.41181818181818, 98.42136363636364]	0.9525383666695374	0.93842685	0.9412491551149134	1
6xqr	unrelaxed_multimer_v3	2	2	0.4697202967420013	0.88570037	[0.9474009107500936, 0.9472345936476961]	[0.9884916, 0.98845637]	[98.45227272727271, 98.44727272727272]	0.9529647591221672	0.9387712	0.9416099024317334	1
6xqr	unrelaxed_multimer_v3	2	3	0.4929933617230494	0.8919553	[0.9456196953328473, 0.9457038684403143]	[0.9880478, 0.9880772]	[98.40545454545453, 98.4068181818182]	0.95206921118208	0.93795556	0.9407782888764308	1
6xqr	unrelaxed_multimer_v3	2	4	0.477817682013221	0.8919553	[0.9468353918644181, 0.9467929762722442]	[0.988402, 0.98836654]	[98.43227272727272, 98.43363636363637]	0.9526572384844268	0.93927896	0.9419546158792584	1
6xqr	unrelaxed_multimer_v3	2	5	0.4693550941440017	0.88570037	[0.9463337482902787, 0.9465551109952017]	[0.9883089, 0.9883403]	[98.4159090909091, 98.4240909090909]	0.952346530097457	0.9381702	0.9410054617201752	1
6xqr	unrelaxed_multimer_v3	3	1	0.4534397926642454	0.88570037	[0.9280569570049625, 0.927372582410189]	[0.98566824, 0.9854959]	[97.75695652173914, 97.74]	0.9461709566098327	0.92752904	0.9312574209209656	1
6xqr	unrelaxed_multimer_v3	3	2	0.448159004697534	0.88570037	[0.9386555207900353, 0.9384911166071972]	[0.9873953, 0.9872843]	[98.11681818181819, 98.11954545454546]	0.949639889773858	0.9334384	0.936678714191344	1
6xqr	unrelaxed_multimer_v3	3	3	0.4224497590885249	0.87116417	[0.9302861983752725, 0.930805672440572]	[0.9858917, 0.9859745]	[97.8459090909091, 97.86363636363639]	0.9458535946101088	0.9275036	0.9311735875743656	1
6xqr	unrelaxed_multimer_v3	3	4	0.4526697302780025	0.88570037	[0.9274833008777899, 0.928036796017913]	[0.9855953, 0.9857195]	[97.73565217391305, 97.75086956521739]	0.9456382898084144	0.92563534	0.9296359282253548	1
6xqr	unrelaxed_multimer_v3	3	5	0.4483114031085214	0.88570037	[0.9394871852271467, 0.9394589782162154]	[0.9876215, 0.9875934]	[98.13636363636365, 98.13772727272728]	0.9491446959729029	0.93169594	0.935185689682862	1
6xqr	unrelaxed_multimer_v3	4	1	0.4670970104132499	0.88570037	[0.9388387159508416, 0.9391188975105117]	[0.9867943, 0.98679847]	[98.18583333333333, 98.19958333333334]	0.9519558760035584	0.9352994	0.9386306924126258	1
6xqr	unrelaxed_multimer_v3	4	2	0.4522982494827177	0.88570037	[0.9395965950558376, 0.9396153471357686]	[0.98689055, 0.98688334]	[98.21458333333332, 98.21625]	0.9526783748044546	0.9370007	0.9401362284734642	1
6xqr	unrelaxed_multimer_v3	4	3	0.4518436486988619	0.88570037	[0.9391821396952136, 0.9393544411150118]	[0.9868934, 0.98692656]	[98.19333333333334, 98.19875]	0.9519445327999516	0.9353097	0.9386366730547412	1
6xqr	unrelaxed_multimer_v3	4	4	0.4515326746122766	0.88570037	[0.9384752680951838, 0.9415698756059848]	[0.9867557, 0.9875219]	[98.17130434782607, 98.2517391304348]	0.9521778138983752	0.9362885	0.9394663435719116	1
6xqr	unrelaxed_multimer_v3	4	5	0.450999876468532	0.88570037	[0.9383929337767359, 0.93855333676483]	[0.9868862, 0.9869132]	[98.15416666666665, 98.15958333333333]	0.9511097708491554	0.9352134	0.9383926637798166	1
6xqr	unrelaxed_multimer_v3	5	1	0.466744401701782	0.88570037	[0.9386673177206033, 0.9391373684228679]	[0.9867826, 0.9868665]	[98.17833333333334, 98.19374999999998]	0.9510405092748024	0.93818796	0.9407584673029586	1
6xqr	unrelaxed_multimer_v3	5	2	0.4659827307538099	0.88570037	[0.941021621916402, 0.9413696500174954]	[0.9875112, 0.9875789]	[98.225, 98.23590909090909]	0.9509688354223056	0.9363538	0.9392768092292364	1
6xqr	unrelaxed_multimer_v3	5	3	0.4662378759634538	0.88570037	[0.9370781633439962, 0.9375096094471371]	[0.9865501, 0.9866306]	[98.12124999999999, 98.13499999999999]	0.9508010884094046	0.9376453	0.9402764705810508	1
6xqr	unrelaxed_multimer_v3	5	4	0.4585914286353404	0.88570037	[0.9400652263947071, 0.9404584143365453]	[0.98728466, 0.98741627]	[98.19909090909091, 98.2059090909091]	0.9501791200482193	0.93578976	0.9386676351516116	1
6xqr	unrelaxed_multimer_v3	5	5	0.4668316973811173	0.88570037	[0.9381593739698942, 0.9416303780097977]	[0.98680514, 0.9875309]	[98.15043478260868, 98.25391304347826]	0.9514787353258114	0.93832856	0.9409585983987805	1
6yvk	unrelaxed_multimer_v3	1	1	0.7110712851684373	0.98128027	[0.8835434538064748, 0.8843114462296233]	[0.9727815, 0.97289073]	[96.87512605042018, 96.90075630252102]	0.9470425374050682	0.93412364	0.9367074157146564	1
6yvk	unrelaxed_multimer_v3	1	2	0.7104304551926421	0.98128027	[0.883906475453993, 0.8841128662583948]	[0.97325534, 0.9733514]	[96.84520661157025, 96.84545454545454]	0.9473379079929984	0.9347526	0.9372696484015782	1
6yvk	unrelaxed_multimer_v3	1	3	0.7102495421623135	0.98128027	[0.8792641475072238, 0.8800133132145147]	[0.97156423, 0.9715753]	[96.79338842975208, 96.82776859504132]	0.9471779599603656	0.9351038	0.9375186112486648	1
6yvk	unrelaxed_multimer_v3	1	4	0.7100003002829299	0.98128027	[0.8735887740173491, 0.8742499934140943]	[0.9683624, 0.96841407]	[96.84470588235291, 96.87075630252103]	0.9461004980299644	0.9335667	0.9360734511990104	1
6yvk	unrelaxed_multimer_v3	1	5	0.7104177616044697	0.98128027	[0.8816629968218653, 0.8825740066101673]	[0.972353, 0.97251743]	[96.82851239669421, 96.85537190082644]	0.9474330166029296	0.9357896	0.9381182714114064	1
6yvk	unrelaxed_multimer_v3	2	1	0.7084986448079689	0.98128027	[0.8536229945271387, 0.8572267113446568]	[0.96503884, 0.9656492]	[96.24266666666668, 96.34916666666668]	0.9432105314091714	0.92893857	0.931792960392552	1
6yvk	unrelaxed_multimer_v3	2	2	0.709326501478899	0.98128027	[0.8674942673692557, 0.8652413575777625]	[0.96833247, 0.96793354]	[96.56099999999999, 96.49524999999998]	0.9450161660911318	0.9303705	0.9332996409178114	1
6yvk	unrelaxed_multimer_v3	2	3	0.7087074612094045	0.98128027	[0.8579922782526004, 0.8584367366917384]	[0.96655834, 0.96662235]	[96.29413223140496, 96.30842975206613]	0.94412259698391	0.92839324	0.9315391151914598	1
6yvk	unrelaxed_multimer_v3	2	4	0.7084779489923302	0.98128027	[0.8506346248971416, 0.8516053682932474]	[0.9639212, 0.96401477]	[96.21570247933883, 96.25132231404959]	0.943470119265606	0.9280575	0.9311400172765832	1
6yvk	unrelaxed_multimer_v3	2	5	0.7089143210346451	0.98128027	[0.8575609350719312, 0.8579577975357926]	[0.96564096, 0.96576476]	[96.36553719008266, 96.371652892562]	0.9438093325084967	0.9290221	0.9319795254982814	1
6yvk	unrelaxed_multimer_v3	3	1	0.7097715895086176	0.98128027	[0.8865850926730388, 0.8863297619533508]	[0.9756769, 0.97562903]	[96.73201680672267, 96.72462184873947]	0.9439901066332624	0.9306394	0.933309530268303	1
6yvk	unrelaxed_multimer_v3	3	2	0.7089945747461415	0.98128027	[0.8773140532410518, 0.8774221036840131]	[0.97359294, 0.9735409]	[96.49966386554621, 96.50991596638656]	0.942685836076948	0.9276656	0.930669640207333	1
6yvk	unrelaxed_multimer_v3	3	3	0.709817644283203	0.98128027	[0.8890585192580502, 0.889629613432695]	[0.9759423, 0.9760869]	[96.82347107438017, 96.83636363636364]	0.9449558154713034	0.9323821	0.9348968485190654	1
