ID,category,correct_result,min_ipsae,max_ipsae,avg_ipsae,max_iptm,min_iptm,avg_iptm,max_ptm,min_ptm,avg_ptm,max_rc,min_rc,avg_rc,multimer_frac_tm0.0,multimer_frac_tm0.1,multimer_frac_tm0.2,multimer_frac_tm0.3,multimer_frac_tm0.4,multimer_frac_tm0.5,multimer_frac_tm0.6,multimer_frac_tm0.7,multimer_frac_tm0.8,multimer_frac_tm0.9,hm_frac_tm0.0,hm_frac_tm0.1,hm_frac_tm0.2,hm_frac_tm0.3,hm_frac_tm0.4,hm_frac_tm0.5,hm_frac_tm0.6,hm_frac_tm0.7,hm_frac_tm0.8,hm_frac_tm0.9,highest_match_all_hits,highest_tm_all_hits,stoich_all_hits,highest_match_multimers,highest_tm_multimers,stoich_multimers,highest_match_homomultimers,highest_tm_homomultimers,num_contacts_with_max_n_models,num_unique_contacts,mean_contacts_across_predictions,min_contacts_across_predictions,best_num_residue_contacts,best_if_residues,best_plddt_max,best_pae_min,best_contact_score_max,buried_apolar_area_mean,buried_polar_area_mean,total_interaction_area_mean,fraction_buried_apolar_area_mean,fraction_buried_polar_area_mean,buried_apolar_area_min,buried_polar_area_min,total_interaction_area_min,fraction_buried_apolar_area_min,fraction_buried_polar_area_min,buried_apolar_area_max,buried_polar_area_max,total_interaction_area_max,fraction_buried_apolar_area_max,fraction_buried_polar_area_max,structural_consensus_mean,structural_consensus_min,structural_consensus_max
9g04-9g04,homodimer,1,0.786948,0.822323,0.802908,0.8802446126937866,0.8569170236587524,0.8676246881484986,0.888587644215348,0.8661147649133909,0.8769467206202511,0.8819132189980989,0.8595347077162857,0.8694890946428492,0.8416,0.8416,0.8372,0.8679,0.3939,0.5,0.5,1.0,1.0,0.0,0.5896,0.5896,0.6064,0.7965,0.2121,0.3333,0.3333,0.6667,0.6667,0.0,6m7y-assembly2,0.8966,heteromultimer,6m7y-assembly2,0.8966,heteromultimer,4wd9-assembly1,0.8907,146,216,179.0,171.0,186,156,98.0,1.1430908,1644.96,3546.923999999999,2935.396,6482.324000000005,0.5471685771954621,0.4528308057418909,3493.869999999996,2716.4300000000003,6210.300000000003,0.5625927893982567,0.4374072106017421,3594.220000000001,3081.779999999999,6675.990000000005,0.5383800754644626,0.4616214224407161,0.998022,0.99712,0.99871
9ezx-9ezx,homodimer,1,0.680311,0.712779,0.694758,0.789103627204895,0.7716962099075317,0.7803053259849548,0.8243865097174023,0.8000092652638866,0.8067958103557407,0.7961602037073966,0.778920236696364,0.785603422859112,0.8268,0.8268,0.8097,0.9231,0.9833,0.973,1.0,1.0,0.0,0.0,0.1797,0.1797,0.153,0.0308,0.0333,0.0541,0.5,0.5,0.0,0.0,9ix4-assembly1,0.7785,homomultimer,9ix4-assembly1,0.7785,homomultimer,9ix4-assembly1,0.7785,129,207,171.0,157.0,183,145,95.0,1.8805172,650.67,2654.076,3219.742000000001,5873.813999999999,0.4518488328026731,0.5481518481858639,2610.1299999999974,3170.4400000000023,5859.389999999985,0.4454610462863889,0.5410870414838422,2688.949999999997,3271.6900000000023,5891.9800000000105,0.4563745973340019,0.5552785311559096,0.99237,0.98712,0.9957
9qqk-9qqk,homodimer,1,0.884161,0.903856,0.890356,0.9321660995483398,0.9193223118782043,0.9232059836387634,0.9364188735686484,0.926937401147819,0.9308099947440646,0.9330166543524016,0.9209671451350494,0.9247267858598236,0.6863,0.6863,0.6787,0.4663,0.5299,0.5586,0.9524,1.0,1.0,0.0,0.6108,0.6108,0.6111,0.4461,0.5299,0.5586,0.9524,1.0,1.0,0.0,6gh3-assembly1,0.8284,homomultimer,6gh3-assembly1,0.8284,homomultimer,6gh3-assembly1,0.8284,177,221,199.0,195.0,202,152,97.0,1.0909426,1151.46,3457.832000000002,2579.8280000000013,6037.659999999998,0.5727106196771602,0.4272893803228406,3375.0800000000017,2453.760000000002,5828.830000000002,0.5790321556813289,0.4209695599288367,3554.029999999999,2669.240000000005,6223.2699999999895,0.5710872258475054,0.4289127741524969,0.998271,0.99688,0.99942
8hjw-8hjw,homodimer,1,0.804272,0.839659,0.818564,0.8873283863067627,0.8021575212478638,0.8524519920349121,0.8929165044519869,0.8113140864745794,0.8594679131591928,0.8884460099358076,0.8039888342932069,0.8538551762597685,0.9599,0.9599,0.9599,0.9599,0.9599,0.9816,1.0,0.0,0.0,0.0,0.9506,0.9506,0.9506,0.9506,0.9506,0.9719,1.0,0.0,0.0,0.0,6k8v-assembly1,0.694,homomultimer,6k8v-assembly1,0.694,homomultimer,6k8v-assembly1,0.694,285,569,425.0,404.0,428,313,98.0,1.0334935,1992.4,6847.327999999999,5469.065999999999,12316.387999999995,0.5559526055853389,0.4440478815704735,6651.469999999994,5269.32,12104.409999999987,0.5495079892369805,0.4353223329348563,7025.269999999997,5674.979999999996,12655.03,0.555136574152728,0.4484367085656847,0.997477,0.99665,0.99913
9wuc-9wuc,homodimer,1,0.478313,0.666363,0.579462,0.4967137575149536,0.4621823132038116,0.4819669127464294,0.5130414167271091,0.4923215098481427,0.504407888690427,0.4999792893573847,0.4682101525326778,0.4864551079352289,0.2409,0.2409,0.2409,0.2409,0.2364,0.2536,0.315,0.6,0.0,0.0,0.1933,0.1933,0.1933,0.1933,0.1885,0.2036,0.2641,0.3,0.0,0.0,7y9j-assembly2,0.7017,monomer,7egn-assembly1,0.7008,homomultimer,7egn-assembly1,0.7008,48,282,188.0,61.0,234,196,92.0,1.6843036,814.86,4928.7300000000005,4940.032000000004,9868.76,0.4994274863306028,0.5005727163291035,3436.459999999999,3177.350000000006,6613.8000000000175,0.5195893434939052,0.4804121684961743,5986.729999999996,5804.770000000004,11734.949999999995,0.5101623781950496,0.4946565601046451,0.5393539999999999,0.49614,0.73086
7hk6-7hk6,homodimer,1,0.782734,0.806853,0.797431,0.8676254749298096,0.8445357084274292,0.8594247460365295,0.8880498110982159,0.8691646626752305,0.8782582440049719,0.8717103421634909,0.8494614992769896,0.863191445630218,0.8483,0.8483,0.841,0.8838,0.963,1.0,1.0,1.0,0.0,0.0,0.2531,0.2531,0.2537,0.2266,0.7407,0.0,0.0,0.0,0.0,0.0,6yra-assembly2,0.7189,heteromultimer,6yra-assembly2,0.7189,heteromultimer,7yyl-assembly4,0.4353,71,86,77.0,76.0,80,64,97.0,1.1858724,1311.3,1295.3979999999997,1217.4599999999978,2512.8479999999954,0.5155098915652686,0.4844940879830375,1278.6900000000023,1129.5599999999977,2411.87000000001,0.5301653903402742,0.4683336995775033,1328.989999999998,1332.6199999999951,2626.529999999999,0.5059869866325527,0.5073690382367595,0.997965,0.99537,0.99912
7wvz-7wvz,homodimer,1,0.812868,0.833086,0.824504,0.6348664164543152,0.606268048286438,0.6186219096183777,0.63575516098668,0.6095450087781218,0.6226210848327876,0.6350441653607882,0.6069234403847747,0.6194217446612597,0.8641,0.8641,0.8641,0.8626,0.8697,0.7989,0.9508,1.0,0.0,0.0,0.7616,0.7616,0.7616,0.7589,0.7661,0.6536,0.6066,0.3,0.0,0.0,7s6b-assembly1,0.714,heteromultimer,7s6b-assembly1,0.714,heteromultimer,2hg4-assembly1,0.7068,182,266,219.0,207.0,224,170,98.0,1.0301347,979.38,4996.933999999999,2571.798,7568.734000000002,0.6602073741790896,0.3397923615759252,4703.989999999991,2394.9600000000064,7308.580000000016,0.6436257111504533,0.3276915625196688,5245.619999999995,2672.8099999999977,7918.419999999984,0.6624579145839709,0.3375433482942308,0.8782479999999999,0.81068,0.94339
7ban-7ban,homodimer,1,0.0,0.0,0.0,0.3090459704399109,0.2836317718029022,0.2923797070980072,0.5814338268361608,0.5621602322706599,0.5720522922821054,0.3614291640894143,0.3393374638964538,0.3483142241348268,0.6016,0.6016,0.5908,0.5932,0.4571,0.4375,0.3333,0.5,1.0,0.0,0.2199,0.2199,0.193,0.0508,0.0571,0.125,0.1667,0.5,1.0,0.0,8fia-assembly1,0.8172,homomultimer,8fia-assembly1,0.8172,homomultimer,8fia-assembly1,0.8172,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8239.062,7488.226000000001,15727.296000000006,0.5238702190128549,0.4761292723173772,57.66000000000349,91.33000000000176,148.9899999999907,0.3870058393181226,0.612994160681975,39461.52,35369.83,74831.37000000001,0.5273392696137996,0.4726604631186091,0.562017,0.45577,0.84197
7tdq-7tdq,homodimer,1,0.519094,0.59615,0.559551,0.6215816736221313,0.5653162598609924,0.5958583354949951,0.6230571623114254,0.5727726666947334,0.6007549291135269,0.6218767713599902,0.5668075412277407,0.5968376542187015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79,101,86.0,82.0,89,68,95.0,1.0336536,1197.98,2180.3360000000007,947.9460000000004,3128.284000000001,0.696975082824961,0.3030242778468963,2012.01,820.29,2832.3099999999995,0.7103777481984672,0.2896187211145673,2331.6900000000005,1072.5400000000009,3404.220000000001,0.684941043763329,0.315061893767148,0.754158,0.65615,0.97118
7nto-7nto,homodimer,1,0.525634,0.594835,0.552171,0.7506519556045532,0.5652022957801819,0.6704844474792481,0.7424252253533299,0.5561317094706814,0.6637159047445569,0.7490066095543085,0.5633881785182818,0.6691307389323098,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5ylz-assembly1,0.4417,heteromultimer,5ylz-assembly1,0.4417,heteromultimer,-1.0,-1.0,239,311,268.0,254.0,267,128,98.0,0.8289269,2466.07,4669.534000000001,2467.716,7137.245999999999,0.6542487116178987,0.3457518488223609,4536.3600000000015,2361.63,6897.969999999999,0.6576369569598015,0.3423659424439365,4850.6900000000005,2559.73,7386.0899999999965,0.6567331294365494,0.3465609002868907,0.6452800000000001,0.53935,0.97994
7eyp-7eyp,homodimer,1,0.844533,0.853329,0.849537,0.9185417890548706,0.9129599332809448,0.916213858127594,0.9303563518866302,0.9262922171089858,0.927915197244452,0.9209047016212226,0.9156263900465532,0.9185541259509656,0.783,0.783,0.783,0.783,0.7823,0.834,0.8383,1.0,1.0,1.0,0.6233,0.6233,0.6233,0.6233,0.6253,0.7358,0.7387,0.9196,1.0,1.0,7eym-assembly1,0.9308,homomultimer,7eym-assembly1,0.9308,homomultimer,7eym-assembly1,0.9308,63,85,74.0,69.0,73,59,99.0,0.8844842,1073.47,1542.318,497.706,2040.0180000000005,0.7560315644273725,0.2439713767231464,1477.1399999999994,486.59000000000015,1988.880000000001,0.7426994087124404,0.2446552833755681,1573.8600000000006,511.75,2069.010000000002,0.7606826453231251,0.2473405155122496,0.995544,0.99271,0.99952
10xe-10xe,homodimer,1,0.237945,0.744149,0.526553,0.8565776348114014,0.5030782222747803,0.7298269033432007,0.882851503004046,0.5151041804806151,0.7666658660773965,0.8618324084499304,0.5054834139159473,0.7371946958900399,0.9918,0.9918,0.9918,0.9928,0.9934,0.9231,0.9412,1.0,1.0,0.0,0.0183,0.0183,0.0183,0.0184,0.0199,0.5385,0.8235,0.875,1.0,0.0,10xg-assembly1,0.8345,homomultimer,10xg-assembly1,0.8345,homomultimer,10xg-assembly1,0.8345,1,181,61.0,37.0,129,98,93.0,2.073544,595.94,1111.73,499.9939999999999,1611.7219999999998,0.6897777656444475,0.3102234752643446,653.7800000000007,267.21000000000004,935.8099999999996,0.6986247208300841,0.2855387311526914,2832.949999999999,1166.1399999999994,3999.1,0.7083968893000921,0.2916006101372807,0.7051130000000001,0.27279,0.9972
7t2f-7t2f,homodimer,1,0.014994,0.25286,0.139124,0.5299304723739624,0.1967625617980957,0.3972757399082184,0.6054398044372641,0.4016431617821812,0.5264499472133262,0.5448718069745189,0.2377386817949128,0.42311058136924,0.9419,0.9419,0.9419,0.9053,0.0,0.0,0.0,0.0,0.0,0.0,0.7806,0.7806,0.7806,0.9053,0.0,0.0,0.0,0.0,0.0,0.0,5uyo-assembly1,0.565,monomer,5ug4-assembly1,0.3376,homomultimer,5ug4-assembly1,0.3376,4,106,47.0,15.0,77,53,79.0,2.691989,621.33,1796.042,479.1719999999999,2275.2060000000006,0.7893975314762705,0.2106059846888588,1623.67,390.4299999999994,2080.5,0.7804229752463351,0.1876616198029317,1967.82,627.8500000000004,2595.66,0.7581193222532997,0.2418845303313994,0.707848,0.54096,0.94735
22fg-22fg,homodimer,1,0.0,0.580832,0.177934,0.7819916605949402,0.1656611412763595,0.438873228430748,0.8548162992021551,0.5426349620433031,0.6802595288442956,0.7965565883163832,0.2410559054297482,0.4871504885134575,0.607,0.607,0.607,0.5671,0.4928,0.4498,0.4545,0.5741,0.25,0.5,0.3627,0.3627,0.3627,0.301,0.2133,0.1758,0.1818,0.1667,0.25,0.5,7xq3-assembly1,0.9104,homomultimer,7xq3-assembly1,0.9104,homomultimer,7xq3-assembly1,0.9104,3,55,18.0,2.0,29,28,95.0,1.6146425,1151.14,417.1580000000002,346.5180000000002,763.6719999999993,0.5462528415340625,0.4537523963167439,326.09999999999945,239.42000000000007,565.5099999999984,0.5766476278049909,0.423370055348271,611.4900000000016,549.2200000000003,1160.7000000000007,0.5268286378909289,0.4731799775997242,0.677566,0.53729,0.96337
7e4v-7e4v,homodimer,1,0.014542,0.161262,0.08654,0.4313857853412628,0.2879828512668609,0.3600937485694885,0.6654033141884661,0.5868917845295017,0.628710809606123,0.4781892911107035,0.3477646379193891,0.4138171607768154,0.6558,0.6558,0.6546,0.6461,0.7258,0.7105,0.2121,0.2874,0.4167,1.0,0.1994,0.1994,0.2002,0.171,0.2381,0.1849,0.1439,0.1839,0.2917,1.0,1di2-assembly1,0.9211,homomultimer,1di2-assembly1,0.9211,homomultimer,1di2-assembly1,0.9211,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0019999999998617,0.0,-3.637978807091713e-13,0.0,0.0,0.0,0.0,-1.8189894035458565e-12,0.0,0.0,0.0099999999993087,0.0,0.0,0.0,0.0,0.731536,0.64412,0.87406
7ezy-7ezy,homodimer,1,0.841786,0.873057,0.855483,0.906325340270996,0.8915539383888245,0.8972716689109802,0.9140496381155604,0.9024525821444018,0.9068498028392448,0.907870199839909,0.8938174417304289,0.8991872956966331,0.6992,0.6992,0.6992,0.7889,0.8846,0.8421,0.875,1.0,1.0,1.0,0.4878,0.4878,0.4878,0.6111,0.7923,0.8421,0.875,1.0,1.0,1.0,8w35-assembly1,0.9096,homomultimer,8w35-assembly1,0.9096,homomultimer,8w35-assembly1,0.9096,52,73,63.0,55.0,71,54,99.0,0.9139515,1267.24,1633.817999999999,768.2560000000003,2402.072,0.6801702863194772,0.3198305462950321,1610.8799999999992,751.170000000001,2368.01,0.6802673975194358,0.3172157212173939,1681.1099999999988,781.9700000000003,2450.17,0.6861197386303802,0.3191492835191029,0.981351,0.96036,0.99789
7eg5-7eg5,homodimer,1,0.830375,0.871188,0.857496,0.9253526926040648,0.9025987386703492,0.9174896240234376,0.9367996382338596,0.9176035368075494,0.930126137934673,0.927642081730024,0.9055996982977892,0.9200169268056848,0.9216,0.9216,0.9216,0.969,0.9755,0.9632,0.9697,0.9474,0.9286,1.0,0.8172,0.8172,0.8172,0.9159,0.9461,0.9632,0.9697,0.9474,0.9286,1.0,3a6r-assembly2,0.941,homomultimer,3a6r-assembly2,0.941,homomultimer,3a6r-assembly2,0.941,66,77,71.0,70.0,71,59,99.0,0.9597449,2705.53,1314.188,755.9939999999999,2070.18,0.6348182283666156,0.3651827377329507,1281.7200000000005,717.1199999999999,2032.73,0.6305411933704922,0.352786646529544,1356.7200000000012,793.3199999999997,2118.2700000000004,0.640484924018185,0.3745131640442434,0.998707,0.99795,0.99948
7oc3-7oc3,homodimer,1,0.0,0.588398,0.222479,0.7699589729309082,0.0851928144693374,0.3628124490380287,0.8226417205893183,0.4098382360064674,0.5841244941703132,0.7804955224625902,0.1555504454438624,0.4070748580644855,0.827,0.827,0.8258,0.8007,0.5186,0.4931,0.5208,0.5,1.0,0.0,0.1304,0.1304,0.121,0.0336,0.0698,0.069,0.0417,0.0435,0.0,0.0,4b9w-assembly1,0.8007,heteromultimer,4b9w-assembly1,0.8007,heteromultimer,2hqe-assembly1,0.7146,50,72,24.0,0.0,57,50,94.0,2.0930545,376.26,1414.5839999999994,852.3180000000004,2266.904,0.6240158383416322,0.3759832793978044,880.9200000000001,756.2299999999996,1637.1500000000017,0.5380814219833242,0.4619185780166746,2236.7299999999977,1018.09,3254.84,0.6872012141917875,0.3127926411129272,0.566554,0.4961,0.99323
7e8j-7e8j,homodimer,1,0.450888,0.711174,0.62408,0.8146123290061951,0.6444595456123352,0.7591696500778198,0.8179761881697305,0.6964057763050288,0.7827324125227493,0.8152851008389023,0.6548487917508738,0.7638822025668058,0.9375,0.9375,0.9375,0.951,0.9688,0.9333,1.0,1.0,1.0,1.0,0.3304,0.3304,0.3304,0.3431,0.3438,0.8667,1.0,1.0,1.0,1.0,7f3e-assembly1,0.9009,homomultimer,7f3e-assembly1,0.9009,homomultimer,7f3e-assembly1,0.9009,102,147,129.0,116.0,137,94,98.0,1.0168318,1337.25,3105.626,1072.2880000000005,4177.914000000002,0.7433436877829459,0.2566563122170537,2967.209999999999,988.7900000000008,4016.23,0.7388047995259235,0.246198549385867,3158.930000000002,1144.5700000000015,4303.5,0.7340374114093184,0.2659625885906823,0.990633,0.9783,0.99811
