ID,category,correct_result,min_ipsae,max_ipsae,avg_ipsae,max_iptm,min_iptm,avg_iptm,max_ptm,min_ptm,avg_ptm,max_rc,min_rc,avg_rc,multimer_frac_tm0.0,multimer_frac_tm0.1,multimer_frac_tm0.2,multimer_frac_tm0.3,multimer_frac_tm0.4,multimer_frac_tm0.5,multimer_frac_tm0.6,multimer_frac_tm0.7,multimer_frac_tm0.8,multimer_frac_tm0.9,hm_frac_tm0.0,hm_frac_tm0.1,hm_frac_tm0.2,hm_frac_tm0.3,hm_frac_tm0.4,hm_frac_tm0.5,hm_frac_tm0.6,hm_frac_tm0.7,hm_frac_tm0.8,hm_frac_tm0.9,highest_match_all_hits,highest_tm_all_hits,stoich_all_hits,highest_match_multimers,highest_tm_multimers,stoich_multimers,highest_match_homomultimers,highest_tm_homomultimers,num_contacts_with_max_n_models,num_unique_contacts,mean_contacts_across_predictions,min_contacts_across_predictions,best_num_residue_contacts,best_if_residues,best_plddt_max,best_pae_min,best_contact_score_max,buried_apolar_area_mean,buried_polar_area_mean,total_interaction_area_mean,fraction_buried_apolar_area_mean,fraction_buried_polar_area_mean,buried_apolar_area_min,buried_polar_area_min,total_interaction_area_min,fraction_buried_apolar_area_min,fraction_buried_polar_area_min,buried_apolar_area_max,buried_polar_area_max,total_interaction_area_max,fraction_buried_apolar_area_max,fraction_buried_polar_area_max,structural_consensus_mean,structural_consensus_min,structural_consensus_max
22oc_A-9gvh_B,hard_negative,0,0.0,0.010737,0.002147,0.2117027342319488,0.1822006702423095,0.1948738574981689,0.7309149348029389,0.7219520424459578,0.7266445068955175,0.3153455205985654,0.2904165243870578,0.3012279873776387,0.8291,0.8291,0.8257,0.8225,0.7353,0.6522,0.6818,0.8,1.0,0.0,0.1961,0.1961,0.1943,0.1893,0.2941,0.2609,0.2727,0.2,0.0,0.0,2ds2-assembly1,0.8209,heteromultimer,2ds2-assembly1,0.8209,heteromultimer,5xe8-assembly1,0.7523,3,67,14.0,4.0,33,24,72.0,10.253245,141.59,967.4099999999996,693.936,1661.346000000001,0.582304950323412,0.4176950496765874,638.8899999999994,528.3499999999995,1355.0300000000009,0.4714950960495333,0.3899175664007433,1288.3099999999995,942.4700000000004,2175.390000000001,0.5922202455651625,0.4332418554833844,0.778533,0.75252,0.81174
29sb_A-9jm8_A,hard_negative,0,0.0,0.0,0.0,0.2030514478683471,0.0786427855491638,0.130020922422409,0.6362729470234847,0.591608143834119,0.6094361048074506,0.2896957476993747,0.1812358572061548,0.2259039588994174,0.616,0.616,0.616,0.6161,0.6008,0.4985,0.4104,0.25,0.1023,0.0556,0.2144,0.2144,0.2144,0.2146,0.1975,0.1548,0.0916,0.0903,0.0795,0.0278,9tar-assembly1,0.9514,monomer,6w6x-assembly4,0.9311,homomultimer,6w6x-assembly4,0.9311,3,16,4.0,0.0,14,15,81.0,12.70443,100.31,577.0099999999999,459.56600000000014,1036.572,0.5566521187143776,0.4433517401589085,408.54,344.1099999999997,752.6399999999994,0.5428093112244902,0.4572039753401359,661.8900000000003,558.4900000000007,1191.5200000000004,0.5555005371290453,0.4687206257553381,0.671092,0.62456,0.82502
29sb_A-9m9g_A,hard_negative,0,0.014177,0.330596,0.117495,0.6549279689788818,0.3735556304454803,0.4692301273345947,0.7778209829243885,0.6790986390372304,0.7130689899922459,0.6795065717679832,0.4346642321638303,0.517997899866125,0.7548,0.7548,0.7548,0.7591,0.7579,0.7491,0.7505,0.7701,0.7913,0.7621,0.1198,0.1198,0.1198,0.12,0.1128,0.0907,0.0699,0.0747,0.0761,0.0677,9tar-assembly1,0.9563,monomer,4zft-assembly1,0.9375,heteromultimer,6w6x-assembly4,0.9339,29,46,39.0,34.0,44,33,91.0,3.3054957,514.88,834.7300000000001,594.8900000000003,1429.625999999999,0.5838799797989129,0.416115823299241,825.3100000000004,574.9300000000003,1400.2499999999982,0.5894018925191941,0.4105909658989473,842.5799999999999,610.9899999999998,1447.0199999999986,0.5822863540241329,0.4222401901839645,0.995449,0.99187,0.99906
29sb_A-9lp2_A,hard_negative,0,0.0,0.011086,0.002217,0.241999015212059,0.1697191596031189,0.2123711258172989,0.6184145248673317,0.5931417690910372,0.6095510497631206,0.3172821171431136,0.2544036815007026,0.2918071106064632,0.6544,0.6544,0.6544,0.6505,0.6282,0.5739,0.553,0.2877,0.1333,0.0933,0.2114,0.2114,0.2114,0.2075,0.1891,0.1188,0.0629,0.089,0.0778,0.0267,9lp2-assembly1,0.9917,heteromultimer,9lp2-assembly1,0.9917,heteromultimer,6w6x-assembly4,0.9342,5,26,6.0,1.0,13,17,82.0,12.691933,79.59,818.3819999999996,566.5840000000001,1384.9679999999996,0.590903183322647,0.4090953726006667,652.2299999999996,511.6800000000003,1224.3999999999996,0.5326935641947074,0.4179026461940546,882.0299999999997,589.5899999999992,1471.619999999999,0.5993598891018064,0.4006401108981935,0.743203,0.59634,0.97911
22gu_A-8hnr_A,hard_negative,0,0.014623,0.016736,0.01561,0.2793493866920471,0.23908132314682,0.2573985606431961,0.6808879957255165,0.6711872886077501,0.6758132631897682,0.3596395388819017,0.3255711992014457,0.3410815011525104,0.6651,0.6651,0.6647,0.6611,0.6538,0.6262,0.6117,0.6275,0.6769,0.4,0.1162,0.1162,0.1152,0.1142,0.1071,0.1098,0.1288,0.2186,0.1744,0.2,8hnr-assembly1,0.9678,monomer,4j2k-assembly3,0.9509,homomultimer,4j2k-assembly3,0.9509,3,112,43.0,33.0,52,41,78.0,6.8021526,602.85,1010.4959999999996,478.2520000000004,1488.746,0.6787564836446242,0.3212448597678854,932.2299999999996,364.7099999999991,1296.9399999999987,0.718791925609512,0.281208074390488,1134.8799999999992,681.8400000000001,1816.7099999999991,0.6246896863010606,0.3753158181547966,0.7992459999999999,0.67805,0.98148
22gu_A-8s89_A,hard_negative,0,0.0,0.0,0.0,0.2827117443084717,0.1285556852817535,0.1818201392889022,0.6455880213399924,0.4584585199456967,0.5466326018056539,0.3552869997147758,0.2171662561515144,0.2547826317922526,0.7139,0.7139,0.7139,0.7077,0.6853,0.6552,0.5706,0.2222,0.0,0.0,0.1144,0.1144,0.1144,0.089,0.0647,0.0578,0.0601,0.1944,0.0,0.0,8s89-assembly1,0.958,monomer,4zlr-assembly1,0.7609,homomultimer,4zlr-assembly1,0.7609,1,1,0.0,0.0,1,2,62.0,13.75382,3.72,1487.5359999999996,779.4719999999998,2267.0039999999995,0.6561682290812014,0.3438335353620902,1069.3799999999992,402.6299999999992,1472.0,0.726480978260869,0.2735258152173908,2293.859999999997,1334.590000000002,3628.449999999997,0.6321872976064157,0.3678127023935849,0.5060640000000001,0.44668,0.59372
7acw_A-7acw_B,heterodimer,1,0.654621,0.758232,0.704472,0.8161476850509644,0.7345695495605469,0.7773640394210816,0.761699185181506,0.6926124960341485,0.7295370407880302,0.8052579850770727,0.7261781388552672,0.7677986396944714,0.9412,0.9412,0.9394,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2353,0.2353,0.2424,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,8bby-assembly2,0.6024,heteromultimer,8bby-assembly2,0.6024,heteromultimer,7jl6-assembly1,0.3395,95,173,128.0,117.0,137,77,98.0,0.84251845,1967.28,2596.0500000000006,1208.196,3804.248,0.6824081921052468,0.3175912821666726,2346.9900000000007,1119.71,3522.6800000000003,0.6662512632427585,0.31785742673192,2827.4000000000005,1272.5999999999997,4067.93,0.6950463749376219,0.3128372415454541,0.876669,0.8386,0.90812
7a67_A-7a67_B,heterodimer,1,0.721051,0.781522,0.764636,0.8659624457359314,0.8312448859214783,0.8555214643478394,0.8664060965445592,0.838118988828082,0.8549284308171694,0.864359821311326,0.832619706502799,0.8554028576417055,0.7497,0.7497,0.7497,0.7577,0.7752,0.6735,0.6591,0.8333,1.0,0.0,0.3458,0.3458,0.3458,0.3461,0.4495,0.3469,0.25,0.0,0.0,0.0,8k20-assembly1,0.8045,heteromultimer,8k20-assembly1,0.8045,heteromultimer,7cre-assembly1,0.6281,78,90,85.0,83.0,88,60,99.0,0.7980826,2166.73,1760.1179999999997,1000.456,2760.574,0.6375913125313794,0.3624086874686206,1712.9399999999996,959.92,2721.4300000000003,0.6294264412459624,0.3527263240281763,1806.0499999999995,1043.2000000000007,2799.22,0.6451975907574252,0.3726752452468905,0.988788,0.98206,0.99483
7b29_A-7pqw_A,hard_negative,0,0.0,0.013349,0.00721,0.2824248671531677,0.1816569715738296,0.2246210753917694,0.7499390845096845,0.7111538735076188,0.7290436498898624,0.3759277106244711,0.2875563519605875,0.325505590291388,0.5186,0.5186,0.5164,0.5128,0.4959,0.4639,0.1902,0.1667,0.3333,0.3333,0.3605,0.3605,0.3598,0.3699,0.3774,0.3448,0.0829,0.0,0.0,0.0,7b2a-assembly1,0.9137,monomer,7b26-assembly1,0.9071,heteromultimer,6ubo-assembly1,0.6867,6,6,1.0,0.0,5,9,66.0,12.541586,28.24,1412.422,679.7200000000005,2092.144,0.6751074495828202,0.3248915944600373,1153.1400000000003,391.0799999999999,1544.2200000000012,0.7467459299840693,0.2532540700159301,1862.7700000000004,836.340000000001,2659.57,0.7004026966765307,0.3144643683001392,0.8288059999999999,0.80957,0.85428
7b29_A-9jm8_A,hard_negative,0,0.0,0.012024,0.00678,0.2263540029525756,0.1670884042978286,0.2028916001319885,0.6780484849418874,0.6501037727311268,0.6653118449489475,0.3151721908265286,0.2647294247522666,0.2953756490953803,0.5333,0.5333,0.5323,0.5335,0.5176,0.4757,0.205,0.2857,0.5,0.5,0.3172,0.3172,0.318,0.3176,0.3306,0.3333,0.095,0.0,0.0,0.0,7b2a-assembly1,0.9106,monomer,9jm8-assembly1,0.9085,heteromultimer,6ubo-assembly1,0.6864,2,46,15.0,6.0,24,24,75.0,9.160972,189.76,1110.5860000000002,781.2440000000003,1891.8240000000003,0.5870450951039843,0.4129580764384002,972.8600000000006,730.1900000000005,1720.0400000000009,0.5656031255087092,0.4245191972279715,1207.4499999999998,855.4400000000005,2062.890000000001,0.5853196244104141,0.4146803755895855,0.8529769999999999,0.78472,0.93215
