ID	Seed	Sample	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_score	correct_result
5sd6	1	0	0.3519351015931824	0.84294946	[0.009902876701282117, 0.009915165023612876]	[0.12443299751833782, 0.12526021629734815]	[79.86528301886794, 79.60735849056603]	0.54	0.13	0.21	0
5sd6	1	1	0.2886981882191408	0.80223507	[0.009548085237915446, 0.009536372922718712]	[0.10830197541333511, 0.10830261295776548]	[82.40710526315789, 82.08552631578947]	0.52	0.09	0.17	0
5sd6	1	2	0.3016718326744966	0.81190228	[0.010118788077265722, 0.010106453228994271]	[0.13498093800412037, 0.13603621111360747]	[77.93, 77.0862962962963]	0.55	0.15	0.23	0
5sd6	1	3	0.1340220389638114	0.70615739	[0.009616232299005937, 0.009463237622977216]	[0.10326599848913166, 0.10435522715129272]	[88.36818181818182, 83.08999999999999]	0.5	0.07	0.16	0
5sd6	1	4	0.3141078509519988	0.81190228	[0.010210128691567476, 0.01021208680639147]	[0.13169553346600138, 0.13265839283682807]	[81.6853125, 81.13062500000001]	0.54	0.14	0.22	0
5sd6	2	0	0.0791243248221299	0.66728511	[0.009445149447083169, 0.009456451278490333]	[0.10826839899994667, 0.10881701052033936]	[79.58099999999999, 79.49450000000002]	0.51	0.08	0.17	0
5sd6	2	1	0.272509460624415	0.80223507	[0.009566082106622513, 0.009566886328314608]	[0.10796856604787182, 0.10866774627971536]	[83.15487804878047, 82.64170731707318]	0.53	0.11	0.19	0
5sd6	2	2	0.3879329812367295	0.86040801	[0.009695278327077023, 0.009684699483305997]	[0.11137954798177235, 0.11180188189414411]	[83.98673913043476, 83.39739130434785]	0.53	0.12	0.2	0
5sd6	2	3	0.3946842065887527	0.86040801	[0.009727936923659558, 0.009689782762223301]	[0.11494567704733584, 0.11519843186264614]	[82.19434782608695, 81.06543478260869]	0.53	0.12	0.2	0
5sd6	2	4	0.5045014425196169	0.90043139	[0.01151251851518675, 0.011556823769274933]	[0.1533313464150228, 0.15501243944233684]	[89.78561403508772, 89.4019298245614]	0.57	0.21	0.28	0
5sd6	3	0	0.2600149510957856	0.78549007	[0.010401373989058701, 0.010403608521845025]	[0.14398200403604083, 0.14586723427880136]	[78.09137931034485, 77.12034482758621]	0.56	0.17	0.24	0
5sd6	3	1	0.3072257702048499	0.81190228	[0.009660678054607751, 0.009640564788879227]	[0.10747677100178575, 0.10787182928559458]	[86.10842105263156, 85.25236842105264]	0.51	0.07	0.16	0
5sd6	3	2	0.3716876210412287	0.85453785	[0.010541919640862511, 0.01059264349446081]	[0.14684333765302318, 0.14875584841775505]	[78.92893617021278, 78.74021276595745]	0.57	0.19	0.27	0
5sd6	3	3	0.3824299134643209	0.85453785	[0.010269630548854734, 0.010299265997971069]	[0.14152792119430033, 0.14365758561274963]	[77.09245901639345, 76.4760655737705]	0.56	0.18	0.25	0
5sd6	3	4	0.3488592810698855	0.84294946	[0.010187949286073465, 0.010210514869086872]	[0.13560555703318952, 0.13629251455146654]	[78.90575, 78.9375]	0.55	0.15	0.23	0
5sd6	4	0	0.413387445410773	0.87116417	[0.00980187798493394, 0.009880859505105368]	[0.12214588608589126, 0.12330042302190751]	[79.06254237288137, 80.10661016949153]	0.55	0.15	0.23	0
5sd6	4	1	0.2234041084523496	0.77766077	[0.009529727001058046, 0.009524119923520842]	[0.10674436754289261, 0.10698401882752177]	[83.0985714285714, 82.75628571428572]	0.52	0.09	0.17	0
5sd6	4	2	0.3734667235936872	0.85453785	[0.010070449198782742, 0.010091940729326523]	[0.12888729960326997, 0.13072750031162697]	[80.62163636363637, 79.92309090909092]	0.55	0.16	0.24	0
5sd6	4	3	0.4155394370828075	0.87116417	[0.009676387674008878, 0.009729791153238394]	[0.11746200905252094, 0.11850281205408326]	[79.17484375, 79.77171874999999]	0.54	0.13	0.22	0
5sd6	4	4	0.3456961332121268	0.84294946	[0.009897964347618592, 0.009884117962353268]	[0.12349389722422074, 0.12443853208389233]	[80.36314285714286, 79.44628571428571]	0.54	0.13	0.21	0
5sd6	5	0	0.3505721660961097	0.84294946	[0.009406902080614319, 0.009430375730417476]	[0.10175272643403885, 0.10187866772148564]	[83.5315384615385, 84.13153846153847]	0.51	0.07	0.16	0
5sd6	5	1	0.3363539334902293	0.83367787	[0.00971441200027526, 0.009656975771342547]	[0.11428781710009489, 0.11474030333010575]	[82.32942857142858, 80.56400000000001]	0.53	0.11	0.19	0
5sd6	5	2	0.3180045339740638	0.82238224	[0.009662622197519578, 0.009624533120779103]	[0.11233351617433034, 0.11267602209725362]	[82.43558823529413, 81.20323529411765]	0.53	0.11	0.19	0
5sd6	5	3	0.3246892588049144	0.82238224	[0.009757258369409334, 0.009755218165069747]	[0.11254297001695285, 0.11276760055977238]	[84.69, 84.47]	0.52	0.09	0.18	0
5sd6	5	4	0.2614644351895505	0.78549007	[0.009612067526786594, 0.009625304280263543]	[0.1066584755754264, 0.10732366445351317]	[85.44333333333334, 85.27388888888888]	0.52	0.09	0.17	0
6wqb	1	0	0.1335468880383455	0.70615739	[0.009611053408294429, 0.009596206407567618]	[0.11978861166633835, 0.12055973956505858]	[76.05305555555556, 75.20583333333333]	0.39	0.11	0.16	0
6wqb	1	1	0.2680700298486701	0.80223507	[0.00967052721230199, 0.009673133662830615]	[0.10713100376870228, 0.10739910093910625]	[86.65208333333334, 86.50583333333333]	0.38	0.09	0.15	0
6wqb	1	2	0.0648917099127733	0.63555449	[0.009365274249584483, 0.009411670531883933]	[0.11715527033025794, 0.11916883737856562]	[71.45695652173912, 71.44608695652171]	0.39	0.1	0.16	0
6wqb	1	3	0.0825233938824725	0.66728511	[0.009455464906043754, 0.009436583528553453]	[0.12156666516222749, 0.12242466030217428]	[71.13272727272728, 70.16636363636361]	0.39	0.11	0.16	0
6wqb	1	4	0.0888821145307321	0.66728511	[0.009647068427383797, 0.009614039275145408]	[0.11857642592423134, 0.11900712469947061]	[77.71541666666666, 76.62583333333333]	0.39	0.1	0.16	0
6wqb	2	0	0.1676323211428212	0.73044282	[0.009272932081118773, 0.009301629409215084]	[0.11099338607874555, 0.11144576841187608]	[72.82592592592594, 73.34037037037037]	0.39	0.1	0.16	0
6wqb	2	1	0.0617663716030971	0.63555449	[0.009488838894262878, 0.009376083192541067]	[0.11685520329308427, 0.11776039786352555]	[74.862, 71.373]	0.39	0.1	0.16	0
6wqb	2	2	0.1684081949640464	0.73044282	[0.00968259318738884, 0.009658253361104555]	[0.1055117713345582, 0.10589958444875253]	[88.31166666666668, 87.32458333333334]	0.38	0.09	0.15	0
