ID	Seed	Sample	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_score	correct_result
7atr	1	0	0.4006768100376459	0.87116417	[0.7238176204032204, 0.2872426346175729]	[0.9115719728521878, 0.8248462092482672]	[95.81285714285714, 81.74836734693876]	0.9	0.87	0.89	1
7atr	1	1	0.4266353643570696	0.87822061	[0.7921891944460635, 0.42431658138791195]	[0.9324486131858747, 0.8725397935469006]	[96.7348888888889, 85.54733333333334]	0.92	0.89	0.9	1
7atr	1	2	0.3875880341541275	0.86040801	[0.7274208812601393, 0.33793531068375066]	[0.9179518575453925, 0.8449677620748103]	[95.30893617021276, 83.21914893617021]	0.91	0.88	0.9	1
7atr	1	3	0.4298462139134415	0.87822061	[0.7921515557554595, 0.40117581014955517]	[0.9318733142883879, 0.8637098575010195]	[96.79288888888888, 85.14488888888889]	0.91	0.9	0.91	1
7atr	1	4	0.3948632843475511	0.86040801	[0.756212724525018, 0.3636575557613176]	[0.9256606404623073, 0.8559766396255546]	[95.80627906976744, 83.72953488372094]	0.9	0.88	0.89	1
7atr	2	0	0.1481232003548166	0.71391784	[0.02454573856401168, 0.009241006047554713]	[0.3120985408435888, 0.2737904671038794]	[91.75564102564103, 29.153846153846153]	0.75	0.43	0.5	1
7atr	2	1	0.1327873713052335	0.70615739	[0.04456558886766312, 0.010683287256484767]	[0.42718097466846744, 0.33187925175856614]	[89.63652173913044, 35.94652173913044]	0.74	0.5	0.56	1
7atr	2	2	0.1066784812698186	0.68635536	[0.044333529563238015, 0.010665683695658942]	[0.4286221851113877, 0.33082735390801826]	[89.14565217391304, 35.934347826086956]	0.74	0.5	0.55	1
7atr	2	3	0.1364589104034776	0.70615739	[0.04168817811738132, 0.010608376763637796]	[0.4189140228366683, 0.3307953895342213]	[88.91962962962963, 35.52333333333334]	0.75	0.5	0.56	1
7atr	2	4	0.1799177298690911	0.74006263	[0.03717809912359205, 0.010286061667333733]	[0.39797071031709536, 0.3201281817124916]	[89.06645161290321, 34.21354838709678]	0.75	0.49	0.55	1
7atr	3	0	0.2075929109062864	0.75941223	[0.042353624827204346, 0.011064232028240827]	[0.4153874406308427, 0.34219783131994497]	[90.27085714285714, 37.419714285714285]	0.76	0.52	0.58	1
7atr	3	1	0.1386650029203522	0.70615739	[0.040350018873678783, 0.010494198160356995]	[0.4079439411511981, 0.32644007862792535]	[90.05666666666666, 35.1475]	0.74	0.5	0.56	1
7atr	3	2	0.1549054361822454	0.73044282	[0.036550814522598306, 0.010446826872017534]	[0.39328255572684684, 0.31922618996658225]	[89.44111111111113, 35.57592592592593]	0.74	0.49	0.55	1
7atr	3	3	0.1009159642987345	0.68635536	[0.03228967841476164, 0.00949161119888024]	[0.3784339927306076, 0.2885298824835425]	[87.698125, 30.348125]	0.77	0.47	0.54	1
7atr	3	4	0.2237628693370276	0.77766077	[0.032973681697221, 0.010280327313836784]	[0.3713074019029173, 0.3117839699851019]	[90.2935, 35.08225]	0.75	0.49	0.55	1
7atr	4	0	0.13365265369333	0.70615739	[0.05712350408619569, 0.01141837856877546]	[0.4842677387473441, 0.37059023289116444]	[86.96608695652175, 36.61869565217392]	0.78	0.54	0.6	1
7atr	4	1	0.1278141055392896	0.70615739	[0.019646976668169138, 0.00864857508259827]	[0.2747448372918851, 0.22831457677805575]	[89.97500000000001, 26.071250000000003]	0.74	0.41	0.48	1
7atr	4	2	0.0430789076113998	0.63555449	[0.024762274997881945, 0.008802592038393307]	[0.3378745055522358, 0.24235526040595237]	[85.19923076923075, 26.862307692307695]	0.76	0.39	0.47	1
7atr	4	3	0.1485317071660207	0.71391784	[0.037229563441796294, 0.010522380372944805]	[0.40360304257074076, 0.34287284030407794]	[87.8778787878788, 33.664242424242424]	0.75	0.5	0.56	1
7atr	4	4	0.1935006020142489	0.74006263	[0.04166307463270716, 0.011033318833801466]	[0.4208903905237935, 0.3513776532000298]	[88.47968750000001, 36.245937500000004]	0.76	0.52	0.57	1
7atr	5	0	0.2542107263245481	0.78549007	[0.12514170134236322, 0.021440726119161577]	[0.5925186664993107, 0.4965807245067107]	[91.20025641025642, 52.93564102564103]	0.8	0.65	0.69	1
7atr	5	1	0.210493406738991	0.75941223	[0.11175439974993628, 0.018935659652337834]	[0.580632128759261, 0.4704043031882237]	[90.08575757575757, 51.1169696969697]	0.79	0.64	0.68	1
7atr	5	2	0.2399716666459358	0.77766077	[0.11450844774025432, 0.01909675432388977]	[0.5767815987225904, 0.47193610326250224]	[91.33146341463414, 51.2809756097561]	0.81	0.64	0.69	1
7atr	5	3	0.1893060302010636	0.74006263	[0.11788595277828331, 0.021352655927641635]	[0.585299900400619, 0.4946518309897682]	[90.76138888888889, 52.99472222222224]	0.78	0.64	0.68	1
7atr	5	4	0.2524109841902573	0.78549007	[0.13319636988220318, 0.02288502043901638]	[0.6009085017261321, 0.5057228138605885]	[91.52371428571428, 54.23914285714286]	0.8	0.65	0.69	1
7b56	1	0	0.435541232906362	0.87822061	[0.17029396973631863, 0.43863465166578747]	[0.7683245131705497, 0.8349826865235837]	[76.56436363636364, 90.19309090909091]	0.9	0.88	0.91	1
7b56	1	1	0.4443562906396063	0.87822061	[0.1522369970941573, 0.45313145616214884]	[0.7523241676910025, 0.8336243074288808]	[75.8561111111111, 91.13574074074073]	0.9	0.88	0.91	1
7b56	1	2	0.432787931664631	0.87822061	[0.18853251975766858, 0.4841520374254821]	[0.7797759519833463, 0.8452371630560834]	[77.51224489795918, 91.52367346938775]	0.9	0.88	0.91	1
7b56	1	3	0.4049039346801036	0.87116417	[0.1734535466229951, 0.46575164735554647]	[0.7668904358799392, 0.8399924635336484]	[77.08624999999999, 91.12229166666664]	0.9	0.88	0.91	1
7b56	1	4	0.4284015053718393	0.87822061	[0.15936627894615182, 0.4616569785899187]	[0.7604512256086468, 0.8368374216159684]	[75.98595744680851, 91.24617021276597]	0.9	0.88	0.91	1
7b56	2	0	0.4357306447941115	0.87822061	[0.15877022774169597, 0.46319887746428623]	[0.7580842185959307, 0.8369271928557328]	[76.14580000000001, 91.3192]	0.9	0.88	0.91	1
7b56	2	1	0.3628313367889682	0.84294946	[0.8619267410085911, 0.8354347704328389]	[0.9774044112859385, 0.9761540234025152]	[95.40689655172416, 94.31999999999998]	0.9	0.89	0.92	1
7b56	2	2	0.3850147474235269	0.86040801	[0.7433591377723712, 0.7931135235135599]	[0.948796883718162, 0.9585428337991293]	[92.906, 94.14257142857143]	0.9	0.89	0.92	1
7b56	2	3	0.4175738517358768	0.87116417	[0.16533881332518865, 0.4534305703477244]	[0.7655718782058827, 0.8361471374465579]	[76.23200000000001, 90.877]	0.9	0.88	0.91	1
7b56	2	4	0.4063517636650601	0.87116417	[0.23114668936212862, 0.4863035800105096]	[0.8031179427185414, 0.8579686411918608]	[79.3817391304348, 90.27586956521738]	0.9	0.89	0.91	1
