clean_query	multimer_frac_tm0.0	multimer_frac_tm0.6	multimer_frac_tm0.9	multimer_frac_tm0.8	multimer_frac_tm0.1	multimer_frac_tm0.2	multimer_frac_tm0.3	multimer_frac_tm0.4	multimer_frac_tm0.5	multimer_frac_tm0.7	hm_frac_tm0.0	hm_frac_tm0.6	hm_frac_tm0.9	hm_frac_tm0.8	hm_frac_tm0.5	hm_frac_tm0.4	hm_frac_tm0.1	hm_frac_tm0.2	hm_frac_tm0.3	hm_frac_tm0.7	highest_match_all_hits	highest_tm_all_hits	stoich_all_hits	highest_match_multimers	highest_tm_multimers	stoich_multimers	highest_match_homomultimers	highest_tm_homomultimers	category	stoich_homomultimers	max_iptm	min_iptm	avg_iptm	max_rc	min_rc	avg_rc	pdbid_x	structural_consensus	correct_result	pdbid_y	num_contacts_with_max_n_models	num_unique_contacts	mean_contacts_across_predictions	min_contacts_across_predictions	best_num_residue_contacts	best_if_residues	best_plddt_max	best_pae_min	best_contact_score_max	ID	buried_apolar_area	buried_polar_area	total_interaction_area	fraction_buried_apolar_area	fraction_buried_polar_area
6wqb	0.5702	0.5278	0.0	0.0	0.5702	0.5702	0.5679	0.6062	0.625	0.0	0.4689	0.5278	0.0	0.0	0.5168	0.4971	0.4689	0.4689	0.4679	0.0	6wqc-assembly1	0.9853	monomer	3iwg-assembly1_A	0.6562	homodimer	3iwg-assembly1_A	0.6562	monomer	homodimer	0.32849944	0.09378944	0.14196151884	0.3741476892287128	0.1543848807531703	0.1992900255065747	6wqb	0.6624519333333333	0	6wqb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6wqb	1341.6904000000002	1082.0100000000002	2423.7	0.5535711515451583	0.4464290134917689
6xqr	0.2579	0.2436	0.2902	0.2628	0.2579	0.2579	0.2476	0.2344	0.2333	0.2419	0.2184	0.2301	0.2756	0.2504	0.2205	0.2216	0.2184	0.2184	0.2206	0.2296	5qam-assembly3	0.9988	monomer	7l8o-assembly1_D-2	0.9987	homodimer	7l8o-assembly1_D-2	0.9987	homodimer	homodimer	0.9394994	0.93087685	0.93705414	0.9422310338850904	0.9343933675582506	0.9399823529857184	6xqr	0.999517	1	6xqr	57.0	72.0	62.0	59.0	65.0	58.0	99.0	0.87081754	1318.0	6xqr	858.165	1188.7333333333331	2046.90125	0.4192508065545418	0.580747768527345
6yvk	0.9315	0.9567	0.0	0.0	0.9315	0.9315	0.9301	0.9276	0.9596	0.9756	0.8553	0.935	0.0	0.0	0.8758	0.8468	0.8553	0.8553	0.8549	0.9756	6ywu-assembly1	0.9996	monomer	3g1h-assembly1_A	0.7982	homodimer	3g1h-assembly1_A	0.7982	homodimer	homodimer	0.9400235	0.9252269	0.9327507684	0.9415596465615356	0.9284486329977804	0.9351864433857447	6yvk	0.9995789666666668	1	6yvk	114.0	157.0	136.0	130.0	141.0	94.0	99.0	0.87410414	1165.0	6yvk	2279.7596000000003	1311.0476	3590.8064	0.6348879182124663	0.3651123045787152
6z01	0.7795	0.0	0.0	0.0	0.7795	0.7749	0.3125	0.0833	0.0	0.0	0.4803	0.0	0.0	0.0	0.0	0.0417	0.4803	0.4805	0.2188	0.0	1ois-assembly1	0.6145	monomer	2b9s-assembly1_A	0.4843	heterodimer	7s5c-assembly1_J	0.4332	homodimer	homomultimer	0.28061026	0.13153324	0.1657003067999999	0.3315080661406568	0.2014647375057631	0.2346109360426541	6z01	0.5650660833333333	1	6z01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6z01	1173.7060000000006	1499.5052000000005	2673.211600000001	0.4390621378419875	0.5609377125252635
6zbs	0.5028	0.157	0.5	0.1957	0.5028	0.4883	0.2163	0.205	0.1914	0.2	0.2147	0.1488	0.5	0.1957	0.1296	0.145	0.2147	0.2193	0.1538	0.2	8hbt-assembly1	0.9245	monomer	6wao-assembly1_B	0.916	homodimer	6wao-assembly1_B	0.916	monomer	homodimer	0.29569036	0.15055965	0.206088714	0.3586297423787649	0.2293633574170462	0.2784851342780401	6zbs	0.7250447166666666	0	6zbs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6zbs	1984.8008000000004	1402.1288	3386.9275999999995	0.5860180772686138	0.4139825132370707
6zk5	0.7755	0.9254	1.0	0.9683	0.7755	0.7755	0.7562	0.8023	0.9	0.9254	0.7007	0.9104	1.0	0.9683	0.8857	0.7616	0.7007	0.7007	0.6998	0.9104	4kpn-assembly1_A	0.9796	homodimer	4kpn-assembly1_A	0.9796	homodimer	4kpn-assembly1_A	0.9796	homodimer	homodimer	0.8847879	0.8665224	0.8757913824000001	0.8896237380278382	0.8727831149796565	0.8807704403868931	6zk5	0.9935402666666668	1	6zk5	76.0	103.0	93.0	84.0	96.0	72.0	99.0	0.95847315	1600.0	6zk5	1762.9600000000005	941.516	2704.4776	0.651867111045771	0.3481322973427475
7aal	0.9773	1.0	0.0	1.0	0.9773	0.9773	0.9773	0.9773	0.9688	1.0	0.7955	0.7333	0.0	1.0	0.8438	0.7955	0.7955	0.7955	0.7955	1.0	5c1f-assembly1_B	0.8897	homodimer	5c1f-assembly1_B	0.8897	homodimer	5c1f-assembly1_B	0.8897	homodimer	homodimer	0.88364923	0.8731617	0.8779129675999999	0.8830586347647776	0.8728939491460325	0.8773668975363278	7aal	0.9938258	1	7aal	320.0	359.0	342.0	335.0	346.0	240.0	99.0	0.91535234	1853.0	7aal	6999.438	3364.2956	10363.7328	0.6753780838502513	0.3246219933420128
7agz	0.7512	0.867	1.0	1.0	0.7512	0.7512	0.7541	0.7839	0.8692	1.0	0.6228	0.8571	1.0	1.0	0.8598	0.7742	0.6228	0.6228	0.7139	1.0	4dza-assembly1_A	0.9563	homodimer	4dza-assembly1_A	0.9563	homodimer	4dza-assembly1_A	0.9563	homodimer	homodimer	0.93988556	0.9202253	0.9330712472	0.940902106706018	0.9213601577334628	0.934173959322198	7agz	0.997531	1	7agz	175.0	297.0	235.0	200.0	242.0	176.0	98.0	0.9537219	1026.0	7agz	3629.7048	2717.6996000000004	6347.405600000001	0.5718406903129051	0.4281591206334758
7ahf	0.7123	0.7134	0.729	0.7885	0.7123	0.7123	0.7097	0.7111	0.7113	0.7646	0.0342	0.0309	0.0	0.0178	0.0323	0.0321	0.0342	0.0342	0.0335	0.0292	1zdn-assembly2	0.9739	monomer	2oxq-assembly1_A	0.9226	heteromultimer_2_copies	3bzh-assembly1_A-2	0.8874	homodimer	homodimer	0.78645253	0.46950594	0.6878555919999999	0.7995009838716002	0.5128569445791483	0.7098834562586714	7ahf	0.9785740333333334	1	7ahf	27.0	90.0	57.0	49.0	62.0	53.0	92.0	2.1554205	436.0	7ahf	1001.8236000000004	930.6192	1932.4432	0.5184233099322145	0.4815764830759322
7ahr	0.4441	0.3796	0.0	0.7778	0.4441	0.4414	0.4392	0.4454	0.4804	0.3556	0.2992	0.2778	0.0	0.7778	0.4044	0.3036	0.2992	0.3006	0.2984	0.3556	2i6e-assembly1_A	0.8584	homomultimer	2i6e-assembly1_A	0.8584	homomultimer	2i6e-assembly1_A	0.8584	homodimer	homomultimer	0.88502634	0.8297025	0.859839384	0.8896353350441	0.8398059544100861	0.866934349262833	7ahr	0.9947363333333334	1	7ahr	41.0	77.0	60.0	49.0	68.0	50.0	98.0	1.2055194	2181.0	7ahr	1280.832	926.6616	2207.494	0.5802199235875612	0.4197798952114931
